KEY,DESCRIPTION,IT,EN,JA,DE,
BUTTON_120_MIN,,⏲️ 120 MIN,⏲️ 120 MIN,⏲️ 120分,⏲️ 120 MIN,
BUTTON_30_MIN,,⏲️ 30 MIN,⏲️ 30 MIN,⏲️ 30分,⏲️ 30 MIN,
BUTTON_45_MIN,,⏲️ 45 MIN,⏲️ 45 MIN,⏲️ 45分,⏲️ 45 MIN,
BUTTON_60_MIN,,⏲️ 60 MIN,⏲️ 60 MIN,⏲️ 60分,⏲️ 60 MIN,
BUTTON_90_MIN,,⏲️ 90 MIN,⏲️ 90 MIN,⏲️ 90分,⏲️ 90 MIN,
BUTTON_ADMIN,,🔑 Admin,🔑 Admin,🔑 管理者,🔑 Admin,
BUTTON_ANNULLA,,❌ ANNULLA,❌ CANCEL,❌ キャンセル,❌ ABBRECHEN,
BUTTON_BACK,,🔙 INDIETRO,🔙 BACK,🔙 バック,🔙 ZURÜCK,
BUTTON_CHECK_BUGS_HUNT,,🐛 CHECK BUG,🐛 CHECK BUG,🐛 バグを確認します,🐛 FEHLER ÜBERPRÜFEN,
BUTTON_CONTATTACI,,📩 CONTATTACI,📩 CONTACT US,📩 お問い合わせください,📩 KONTAKTIERT UNS,
BUTTON_CONTINUE,,⏭️ CONTINUA,⏭️ CONTINUE,⏭️ 続行します,⏭️ WEITER,
BUTTON_CONTINUE_01,,⏭️ CONTINUA,⏭️ CONTINUE,⏭️ 続行します,⏭️ WEITER,
BUTTON_CONTINUE_02,,⏭️ PROSEGUI,⏭️ GO ON,⏭️続けて,⏭️ WEITER,
BUTTON_CONTINUE_03,,⏭️ AVANTI,⏭️ NEXT,⏭️ 次へ,⏭️ WEITER,
BUTTON_DOWNLOAD_ERRORS,,✨ DOWNLOAD ERRORI,✨ DOWNLOAD ERRORS,✨ エラーをダウンロードします,✨ DOWNLOAD FEHLER,
BUTTON_DOWNLOAD_MEDIA,,🗜️ DOWNLOAD MEDIA ZIP,🗜️ DOWNLOAD MEDIA ZIP,🗜️ をダウンロードします,🗜️ MEDIA ZIP HERUNTERLADEN,
BUTTON_DOWNLOAD_REPORT,,📜 DOWNLOAD REPORT,📜 DOWNLOAD REPORT,📜 レポートをダウンロードします,📜 REPORT HERUNTERLADEN,
BUTTON_EXIT,,🚪 ESCI,🚪 EXIT,🚪終了,🚪 AUSGANG,
BUTTON_END,,🎇 FINE,🎇 END,🎇 端,🎇 ENDE,
BUTTON_FIRST_HINT,,💡 PRIMO INDIZIO,💡 FIRST HINT,💡 最初のヒント,💡 ERSTER HINWEIS,
BUTTON_GPS,,📍 POSIZIONE,📍 LOCATION,📍 場所,📍 POSITION,
BUTTON_INDIETRO,,🔙 INDIETRO,🔙 BACK,🔙 バック,🔙 ZURÜCK,
BUTTON_INFO,,ℹ INFO,ℹ INFO,ℹ 情報,ℹ INFO,
BUTTON_INIZIO,,🏠 TORNA ALL'INIZIO,🏠 HOME,🏠 家,🏠 STARTSEITE,
BUTTON_NEXT_MISSION,,🎳 PROSSIMA MISSIONE,🎳 NEXT MISSION,🎳 次のミッション,🎳 NÄCHSTE MISSION,
BUTTON_NO,,❌ NO,❌ NO,❌ いいえ,❌ NEIN,
BUTTON_ROUTE_ADULTS,,🧑 ADULTI,🧑 ADULTS,🧑 大人,🧑 ERWACHSENE,
BUTTON_ROUTE_BICYCLE,,🚲 IN BICI,🚲 BY BICYCLE,🚲 自転車による,🚲 MIT DEM FAHRRAD,
